Id,Name,Created at,Updated at,Url,Logo,Id [Event],Name [Event],Location [Event]
1,Code42,"April 17, 2014 18:20","April 18, 2014 17:22",http://www.code42.com/,http://s3.amazonaws.com/clojurebridge/original/1/Code42_Logo_Horizontal_Color.png?1397841776,3,ClojureBridge Workshop for Women,"Minneapolis, MN"
2,BrickAlloy,"April 17, 2014 18:20","April 18, 2014 17:22",http://brickalloy.com/,http://s3.amazonaws.com/clojurebridge/original/2/brickalloy.png?1397841764,3,ClojureBridge Workshop for Women,"Minneapolis, MN"
3,DevJam Studios,"April 17, 2014 18:21","April 18, 2014 17:31",http://devjamstudios.com/,http://s3.amazonaws.com/clojurebridge/original/3/DevJam-Studios.png?1397841749,3,ClojureBridge Workshop for Women,"Minneapolis, MN"
4,The Climate Corporation,"April 17, 2014 18:24","April 17, 2014 18:25", - ,/logos/original/missing.png,1,ClojureBridge Workshop for Women,San Francisco
5,WalmartLabs,"April 17, 2014 18:24","September 23, 2014 00:10", - ,http://s3.amazonaws.com/clojurebridge/original/5/walmartlabs-logo.jpg?1411430808,7,ClojureBridge Workshop for Women,San Francisco
6,LispCast,"April 17, 2014 18:24","August 17, 2015 19:32",http://www.purelyfunctional.tv/,http://s3.amazonaws.com/clojurebridge/original/6/LispCast.png?1411430851,21,ClojureBridge Auckland,"Auckland, NZ"
7,Brick Alloy,"April 17, 2014 18:24","September 23, 2014 00:10",http://brickalloy.com/,http://s3.amazonaws.com/clojurebridge/original/7/brickalloy_logo.png?1410056188,7,ClojureBridge Workshop for Women,San Francisco
8,Zillow,"April 17, 2014 18:24","April 17, 2014 18:25", - ,/logos/original/missing.png,1,ClojureBridge Workshop for Women,San Francisco
9,Outpace,"April 17, 2014 18:24","April 17, 2014 18:25", - ,/logos/original/missing.png,1,ClojureBridge Workshop for Women,San Francisco
10,ThoughtWorks,"August 04, 2014 14:19","April 15, 2015 18:59",http://www.thoughtworks.com,http://s3.amazonaws.com/clojurebridge/original/10/tw-logo.png?1411430791,12,London ClojureBridge Workshop,London
11,GitHub,"September 05, 2014 14:49","September 05, 2014 14:50",https://github.com/,/logos/original/missing.png,6,ClojureBridge Edinburgh,Edinburgh
12,ScotlandIS,"September 05, 2014 14:49","September 05, 2014 14:50", - ,/logos/original/missing.png,6,ClojureBridge Edinburgh,Edinburgh
13,Factual,"September 10, 2014 16:32","September 23, 2014 00:10",http://www.factual.com/,http://s3.amazonaws.com/clojurebridge/original/13/factual-high-res.png?1411430774,7,ClojureBridge Workshop for Women,San Francisco
14,#cljsyd,"November 07, 2014 14:14","November 07, 2014 14:15",http://www.meetup.com/clj-syd/,/logos/original/missing.png,8,ClojureBridge Sydney,Sydney
15,Rackspace,"January 15, 2015 01:58","January 15, 2015 02:12",http://www.rackspace.com/,http://s3.amazonaws.com/clojurebridge/original/15/130x33_red.png?1421287963,9,ClojureBridge Workshop for Women in Software,Austin
16,DRW Trading,"January 15, 2015 02:00","January 15, 2015 02:05",http://drw.com/,http://s3.amazonaws.com/clojurebridge/original/16/DRW_Logo_Hi_Res.png?1421287251,9,ClojureBridge Workshop for Women in Software,Austin
17,O'Reilly,"January 15, 2015 02:05","August 24, 2015 02:31",http://www.oreilly.com/,http://s3.amazonaws.com/clojurebridge/original/17/ORM_logo_box75_hex.jpg?1421287502,24,ClojureBridge MN - Fall 2015,Minneapolis
18,The Pragmatic Bookshelf,"January 24, 2015 20:20","January 24, 2015 20:20",https://pragprog.com/,http://s3.amazonaws.com/clojurebridge/original/18/Bookshelf_4in.png?1422130855,9,ClojureBridge Workshop for Women in Software,Austin
19,ThreatGRID,"January 24, 2015 20:21","January 25, 2015 03:37",http://www.threatgrid.com/,http://s3.amazonaws.com/clojurebridge/original/19/threatgrid.png?1422157052,9,ClojureBridge Workshop for Women in Software,Austin
20,Thrivent Financial,"February 14, 2015 14:10","February 14, 2015 14:12",https://www.thrivent.com/,http://s3.amazonaws.com/clojurebridge/original/20/Thrivent.png?1423923050,10,ClojureBridge Workshop,Minneapolis
21,University of Minnesota Software Engineering Center,"February 14, 2015 14:11","February 14, 2015 16:45",http://www.umsec.umn.edu/,http://s3.amazonaws.com/clojurebridge/original/21/umseclogo.jpg?1423923397,10,ClojureBridge Workshop,Minneapolis
22,itemis,"February 18, 2015 13:29","February 20, 2015 02:04",http://www.itemis.com,http://s3.amazonaws.com/clojurebridge/original/22/itemis_logo.png?1424397852,11,Solingen ClojureBridge Workshop,"Solingen, Germany"
24,innoQ,"February 18, 2015 13:30","February 20, 2015 02:03",https://www.innoq.com/en/,http://s3.amazonaws.com/clojurebridge/original/24/innoq_logo.png?1424397831,11,Solingen ClojureBridge Workshop,"Solingen, Germany"
25,codecentric,"February 18, 2015 13:31","February 20, 2015 02:03",https://www.codecentric.de/,http://s3.amazonaws.com/clojurebridge/original/25/codecentric_logo.jpg?1424397800,11,Solingen ClojureBridge Workshop,"Solingen, Germany"
26,bevuta,"February 18, 2015 13:39","February 20, 2015 02:02",http://www.bevuta.com/en/,http://s3.amazonaws.com/clojurebridge/original/26/bevuta_logo.png?1424397776,11,Solingen ClojureBridge Workshop,"Solingen, Germany"
27,doctronic,"February 18, 2015 13:40","February 20, 2015 02:02",http://doctronic.de/,http://s3.amazonaws.com/clojurebridge/original/27/doctronic_logo.png?1424397765,11,Solingen ClojureBridge Workshop,"Solingen, Germany"
28,Adobe,"February 24, 2015 03:03","February 24, 2015 03:04",http://www.adobe.com/,http://s3.amazonaws.com/clojurebridge/original/28/standard_adobe_logo_-_2-color_red_and_black.png?1424746980,10,ClojureBridge Workshop,Minneapolis
29,Interactive Web Systems,"March 13, 2015 20:34","March 13, 2015 20:34",http://iwsaustin.com,http://s3.amazonaws.com/clojurebridge/original/29/image2.PNG?1426278848,9,ClojureBridge Workshop for Women in Software,Austin
30,uSwitch,"March 16, 2015 22:40","March 16, 2015 22:41",http://www.uswitch.com/,http://s3.amazonaws.com/clojurebridge/original/30/logo-uswitch-b97b8399.png?1426545637,12,London ClojureBridge Workshop,London
31,Simple,"March 19, 2015 20:40","March 19, 2015 20:41",https://www.simple.com/,http://s3.amazonaws.com/clojurebridge/original/31/simple-logo.png?1426797606,13,ClojureBridge Portland Workshop,"Portland, OR"
32,Puppet Labs,"March 19, 2015 20:46","March 19, 2015 20:46",https://puppetlabs.com/,http://s3.amazonaws.com/clojurebridge/original/32/PL_logo_horizontal_RGB_lg.jpg?1426797992,13,ClojureBridge Portland Workshop,"Portland, OR"
33,buyapowa,"March 24, 2015 21:27","March 24, 2015 21:27",http://www.buyapowa.com/,http://s3.amazonaws.com/clojurebridge/original/33/buyapowa.png?1427232418,12,London ClojureBridge Workshop,London
34,yeller,"March 30, 2015 19:02","March 30, 2015 19:02", - ,/logos/original/missing.png,12,London ClojureBridge Workshop,London
35,dpunkt.verlag,"April 09, 2015 13:14","April 09, 2015 13:15",http://www.dpunkt.de/,http://s3.amazonaws.com/clojurebridge/original/35/dpunkt.jpg?1428585292,11,Solingen ClojureBridge Workshop,"Solingen, Germany"
36,"8th Light, Ltd.","April 13, 2015 00:15","April 13, 2015 13:58",http://www.8thlight.com/,http://s3.amazonaws.com/clojurebridge/original/36/8thlight.png?1428933499,12,London ClojureBridge Workshop,London
37,Metosin,"April 13, 2015 00:16","April 13, 2015 13:57",http://www.metosin.fi/,http://s3.amazonaws.com/clojurebridge/original/37/metosin.png?1428933456,12,London ClojureBridge Workshop,London
38,Jayway,"April 27, 2015 14:58","August 24, 2015 02:18",http://www.jayway.com/,http://s3.amazonaws.com/clojurebridge/original/38/jayway_logo.png?1430146682,22,ClojureBridge Malmö,"Malmö, Sweden"
39,6Wunderkinder,"May 01, 2015 15:21","May 01, 2015 15:21",https://www.wunderlist.com/,http://s3.amazonaws.com/clojurebridge/original/39/6Wunderkinder-Logo.png?1430493669,15,ClojureBridge Workshop for Women,Berlin
40,Metosin Ltd.,"May 01, 2015 20:29","May 01, 2015 20:41",http://metosin.fi,http://s3.amazonaws.com/clojurebridge/original/40/metosin.png?1430512865,16,ClojureBridge Workshop for Women,"Helsinki, Finland"
41,Solita,"May 13, 2015 13:24","May 13, 2015 13:24",http://www.solita.fi/,http://s3.amazonaws.com/clojurebridge/original/41/solita_logo.png?1431523486,16,ClojureBridge Workshop for Women,"Helsinki, Finland"
42,GitHub,"May 13, 2015 13:27","August 03, 2015 14:56",http://github.com,http://s3.amazonaws.com/clojurebridge/original/42/GitHub.png?1431523668,21,ClojureBridge Auckland,"Auckland, NZ"
43,Dawanda,"May 13, 2015 13:28","May 13, 2015 13:28",http://de.dawanda.com/,http://s3.amazonaws.com/clojurebridge/original/43/Dawanda.png?1431523687,15,ClojureBridge Workshop for Women,Berlin
44,TicketSolve,"May 13, 2015 13:28","May 13, 2015 13:28",http://www.ticketsolve.com/,http://s3.amazonaws.com/clojurebridge/original/44/TicketSolve.png?1431523704,15,ClojureBridge Workshop for Women,Berlin
